Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBSH,Afghanistan,AFG,2003,Eggs,2.87,0.22,0.21
FBSH,Afghanistan,AFG,2003,Maize and products,42.88,1.13,0.6
FBSH,Afghanistan,AFG,2003,Milk - Excluding Butter,116.37,6.88,6.28
FBSH,Afghanistan,AFG,2003,"Pulses, Other and products",9.46,0.63,0.06
FBSH,Afghanistan,AFG,2003,Rice and products,203.24,3.89,0.38
FBSH,Afghanistan,AFG,2003,Wheat and products,1144.31,30.82,4.06
FBSH,Albania,ALB,2003,Eggs,26.73,2.13,1.88
FBSH,Albania,ALB,2003,Maize and products,23.58,0.55,0.08
FBSH,Albania,ALB,2003,Milk - Excluding Butter,514.17,27.92,30.84
FBSH,Albania,ALB,2003,"Pulses, Other and products",1.1,0.07,0.01
FBSH,Albania,ALB,2003,Rice and products,66.62,1.32,0.16
FBSH,Albania,ALB,2003,Wheat and products,1118.88,35.8,5.92
FBSH,Algeria,DZA,2003,Eggs,14.95,1.26,1.02
FBSH,Algeria,DZA,2003,Maize and products,84.64,2.13,0.75
FBSH,Algeria,DZA,2003,Milk - Excluding Butter,167.46,9.94,8.21
FBSH,Algeria,DZA,2003,"Pulses, Other and products",42.93,2.81,0.27
FBSH,Algeria,DZA,2003,Rice and products,18.1,0.35,0.02
FBSH,Algeria,DZA,2003,Wheat and products,1486.51,44.92,5.39
None,Andorra,AND,2003,Eggs,None,None,None
None,Andorra,AND,2003,Maize and products,None,None,None
None,Andorra,AND,2003,Milk - Excluding Butter,None,None,None
None,Andorra,AND,2003,"Pulses, Other and products",None,None,None
None,Andorra,AND,2003,Rice and products,None,None,None
None,Andorra,AND,2003,Wheat and products,None,None,None
FBSH,Angola,AGO,2003,Eggs,2.4,0.2,0.16
FBSH,Angola,AGO,2003,Maize and products,330.41,8.7,3.56
FBSH,Angola,AGO,2003,Milk - Excluding Butter,25.42,1.33,1.39
None,Angola,AGO,2003,"Pulses, Other and products",None,None,None
FBSH,Angola,AGO,2003,Rice and products,58.13,1.12,0.08
FBSH,Angola,AGO,2003,Wheat and products,188.55,5.72,0.68
FBSH,Antigua and Barbuda,ATG,2003,Eggs,10.32,0.78,0.68
FBSH,Antigua and Barbuda,ATG,2003,Maize and products,31.79,0.68,0.1
FBSH,Antigua and Barbuda,ATG,2003,Milk - Excluding Butter,235.92,11.36,10.96
FBSH,Antigua and Barbuda,ATG,2003,"Pulses, Other and products",5.18,0.34,0.03
FBSH,Antigua and Barbuda,ATG,2003,Rice and products,93.76,1.86,0.17
FBSH,Antigua and Barbuda,ATG,2003,Wheat and products,417.08,11.7,3.55
FBSH,Argentina,ARG,2003,Eggs,24.56,1.87,1.63
