Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,AFG,2017,Eggs,6.4,0.6,0.4
Afghanistan,AFG,2017,Maize and products,8.9,0.2,0.1
Afghanistan,AFG,2017,Milk - Excluding Butter,99.5,6.1,4.4
Afghanistan,AFG,2017,"Pulses, Other and products",22.1,1.7,0.3
Afghanistan,AFG,2017,Rice and products,174.0,3.5,0.5
Afghanistan,AFG,2017,Wheat and products,1403.3,42.2,6.6
Albania,ALB,2017,Eggs,56.9,4.4,4.1
Albania,ALB,2017,Maize and products,21.2,0.4,0.2
Albania,ALB,2017,Milk - Excluding Butter,673.5,36.4,41.5
Albania,ALB,2017,"Pulses, Other and products",2.9,0.2,0.0
Albania,ALB,2017,Rice and products,65.6,1.3,0.2
Albania,ALB,2017,Wheat and products,963.5,29.7,6.2
Algeria,DZA,2017,Eggs,24.7,2.2,1.7
Algeria,DZA,2017,Maize and products,119.3,2.4,1.0
Algeria,DZA,2017,Milk - Excluding Butter,272.6,15.5,13.9
Algeria,DZA,2017,"Pulses, Other and products",47.7,3.3,0.5
Algeria,DZA,2017,Rice and products,25.0,0.5,0.1
Algeria,DZA,2017,Wheat and products,1243.0,39.2,5.9
Andorra,AND,2017,Eggs,None,None,None
Andorra,AND,2017,Maize and products,None,None,None
Andorra,AND,2017,Milk - Excluding Butter,None,None,None
Andorra,AND,2017,"Pulses, Other and products",None,None,None
Andorra,AND,2017,Rice and products,None,None,None
Andorra,AND,2017,Wheat and products,None,None,None
Angola,AGO,2017,Eggs,0.3,0.0,0.0
Angola,AGO,2017,Maize and products,380.9,7.9,3.2
Angola,AGO,2017,Milk - Excluding Butter,23.2,1.2,1.2
Angola,AGO,2017,"Pulses, Other and products",7.0,0.4,0.1
Angola,AGO,2017,Rice and products,127.2,2.6,0.3
Angola,AGO,2017,Wheat and products,237.0,7.4,1.6
Antigua and Barbuda,ATG,2017,Eggs,9.8,0.9,0.7
Antigua and Barbuda,ATG,2017,Maize and products,55.7,1.5,0.5
Antigua and Barbuda,ATG,2017,Milk - Excluding Butter,161.7,8.0,9.6
Antigua and Barbuda,ATG,2017,"Pulses, Other and products",9.2,0.7,0.1
Antigua and Barbuda,ATG,2017,Rice and products,124.2,2.9,0.9
Antigua and Barbuda,ATG,2017,Wheat and products,404.0,11.8,4.2
Argentina,ARG,2017,Eggs,54.7,4.9,3.8
Argentina,ARG,2017,Maize and products,90.2,1.9,0.8
Argentina,ARG,2017,Milk - Excluding Butter,244.1,13.4,15.7
