IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,21,Northern America,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.7,,,0.2,,1.3,0.7 [0.2-1.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,777,"Europe, Northern America, Australia and New Zealand",Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.8,,,0.6,,1.2,0.8 [0.6-1.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,30,Eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1,,,0.9,,1.1,1.0 [0.9-1.1],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,53,Australia and New Zealand,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.2,,,,,,1.2,,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,143,Central Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.7,,,1.2,,2.6,1.7 [1.2-2.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,2,Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.5,,,11.1,,14.2,12.5 [11.1-14.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,432,Landlocked developing countries (LLDCs),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,12.7,,,8.9,,17.7,12.7 [8.9-17.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,17,Middle Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.1,,,9.4,,18,13.1 [9.4-18.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,35,South-eastern Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.2,,,10.2,,16.8,13.2 [10.2-16.8],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,14,Eastern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.9,,,11,,17.4,13.9 [11.0-17.4],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,202,Sub-Saharan Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,13.9,,,12.2,,15.7,13.9 [12.2-15.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,142,Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,15.2,,,11.6,,19.6,15.2 [11.6-19.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,199,Least Developed Countries (LDCs),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,16.2,,,13.9,,18.7,16.2 [13.9-18.7],,Based on December 2024 Classification,EN,2025-05-08T18:30:00.000Z
