country,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,2004,1967.0,55.24,34.95
Albania,2004,2792.0,95.27,88.72
Algeria,2004,2987.0,83.44,63.8
Angola,2004,2030.0,42.96,43.07
Argentina,2004,3028.0,91.76,101.34
Armenia,2004,2554.0,75.06,55.95
Australia,2004,3052.0,101.5,134.01
Austria,2004,3606.0,100.49,155.6
Azerbaijan,2004,2639.0,75.24,50.1
Bahamas,2004,2662.0,81.8,92.77
Bangladesh,2004,2382.0,52.42,26.93
Barbados,2004,2770.0,83.57,85.71
Belarus,2004,2901.0,87.21,95.27
Belgium,2004,3722.0,99.25,160.79
Belize,2004,2776.0,77.74,66.42
Benin,2004,2461.0,58.87,48.6
Bermuda,2004,2455.0,74.51,105.6
Bolivia (Plurinational State of),2004,2051.0,55.63,45.14
Bosnia and Herzegovina,2004,3091.0,89.01,64.09
Botswana,2004,2191.0,62.5,56.42
Brazil,2004,3082.0,83.76,105.18
Brunei Darussalam,2004,2996.0,90.28,81.13
Bulgaria,2004,2764.0,80.13,95.23
Burkina Faso,2004,2505.0,74.97,59.22
Cabo Verde,2004,2523.0,67.87,68.92
Cambodia,2004,2275.0,52.86,32.77
Cameroon,2004,2246.0,58.46,49.6
Canada,2004,3525.0,104.82,147.39
Central African Republic,2004,1989.0,47.61,67.39
Chad,2004,2026.0,62.76,59.64
Chile,2004,2917.0,84.82,84.53
China,2004,2861.0,86.05,80.46
"China, Hong Kong SAR",2004,3208.0,104.97,139.04
"China, Macao SAR",2004,2760.0,84.87,117.55
"China, Taiwan Province of",2004,2986.0,88.35,130.98
"China, mainland",2004,2857.0,85.91,79.27
Colombia,2004,2778.0,61.81,71.76
Congo,2004,2263.0,48.82,53.37
Costa Rica,2004,2761.0,70.33,82.07
Croatia,2004,2943.0,75.24,101.26
Cuba,2004,3346.0,75.72,58.69
Cyprus,2004,2601.0,80.56,106.4
Czechia,2004,3322.0,96.08,116.75
Côte d'Ivoire,2004,2738.0,54.11,55.45
Democratic People's Republic of Korea,2004,2206.0,60.27,37.45
Denmark,2004,3382.0,105.56,133.35
Djibouti,2004,2136.0,50.47,55.54
Dominica,2004,2957.0,86.84,81.51
Dominican Republic,2004,2216.0,46.1,78.24
Ecuador,2004,2226.0,55.9,84.87
Egypt,2004,3309.0,93.43,55.48
El Salvador,2004,2567.0,69.78,58.25
Estonia,2004,3080.0,84.91,97.83
Eswatini,2004,2469.0,73.86,60.07
Ethiopia,2004,1882.0,54.1,20.51
Fiji,2004,2901.0,76.03,96.72
Finland,2004,3188.0,105.31,126.07
France,2004,3555.0,114.1,161.77
French Polynesia,2004,2911.0,99.22,125.14
Gabon,2004,2676.0,78.0,54.82
Gambia,2004,2465.0,57.75,82.64
Georgia,2004,2902.0,83.61,59.89
Germany,2004,3411.0,96.73,138.58
Ghana,2004,2682.0,58.2,41.88
Greece,2004,3719.0,117.27,148.51
Grenada,2004,2378.0,73.56,87.49
Guatemala,2004,2324.0,59.84,53.98
Guinea,2004,2426.0,52.38,58.08
Guinea-Bissau,2004,2257.0,43.0,54.66
Guyana,2004,2686.0,77.04,57.69
Haiti,2004,1889.0,42.52,38.4
Honduras,2004,2480.0,63.38,66.66
Hungary,2004,3192.0,90.57,133.73
Iceland,2004,3290.0,127.3,144.64
India,2004,2256.0,54.0,45.73
Indonesia,2004,2471.0,54.05,47.97
Iran (Islamic Republic of),2004,3088.0,83.24,71.18
Iraq,2004,2367.0,55.13,55.97
Ireland,2004,3573.0,116.96,134.5
Israel,2004,3621.0,128.82,148.01
Italy,2004,3626.0,111.96,150.1
Jamaica,2004,2792.0,76.12,87.41
Japan,2004,2842.0,91.78,90.19
Jordan,2004,3122.0,78.65,102.99
Kazakhstan,2004,2979.0,89.59,91.39
Kenya,2004,2022.0,56.4,47.45
Kiribati,2004,2840.0,71.13,97.2
Kuwait,2004,3507.0,108.83,116.59
Kyrgyzstan,2004,2739.0,86.35,57.26
Lao People's Democratic Republic,2004,2209.0,59.87,29.59
Latvia,2004,3077.0,86.04,119.5
Lebanon,2004,3175.0,86.57,108.77
Lesotho,2004,2541.0,71.05,33.48
Liberia,2004,2092.0,34.99,57.31
Lithuania,2004,3361.0,116.77,94.9
Luxembourg,2004,3489.0,108.11,155.74
Madagascar,2004,1980.0,46.27,25.94
Malawi,2004,2166.0,56.14,30.57
Malaysia,2004,2828.0,77.93,87.73
Maldives,2004,2440.0,84.97,61.02
Mali,2004,2540.0,71.5,58.13
Malta,2004,3372.0,111.97,108.63
Mauritania,2004,2599.0,77.26,69.87
Mauritius,2004,3023.0,85.34,84.67
Mexico,2004,3105.0,87.32,89.36
Mongolia,2004,2230.0,74.66,77.19
Morocco,2004,3263.0,90.06,59.47
Mozambique,2004,2059.0,40.39,36.02
Myanmar,2004,2093.0,59.61,46.93
Namibia,2004,2268.0,63.62,56.01
Nepal,2004,2374.0,60.73,41.05
Netherlands (Kingdom of the),2004,3197.0,105.06,133.44
Netherlands Antilles (former),2004,3084.0,91.79,79.05
New Caledonia,2004,2753.0,81.13,119.01
New Zealand,2004,3157.0,93.37,117.79
Nicaragua,2004,2360.0,59.16,50.94
Niger,2004,2453.0,74.29,52.65
Nigeria,2004,2655.0,60.54,64.85
North Macedonia,2004,2872.0,75.3,101.11
Norway,2004,3477.0,104.5,151.33
Oman,2004,2664.0,75.13,70.09
Pakistan,2004,2340.0,59.14,67.03
Panama,2004,2250.0,63.8,59.46
Paraguay,2004,2660.0,71.9,92.39
Peru,2004,2296.0,62.72,39.82
Philippines,2004,2461.0,56.36,46.64
Poland,2004,3380.0,99.1,113.15
Portugal,2004,3535.0,113.12,132.42
Republic of Korea,2004,3098.0,86.96,84.83
Republic of Moldova,2004,2582.0,72.01,55.68
Romania,2004,3354.0,106.61,95.33
Russian Federation,2004,3113.0,90.67,86.26
Rwanda,2004,1969.0,47.07,21.47
Saint Kitts and Nevis,2004,2466.0,77.04,85.86
Saint Lucia,2004,2649.0,89.96,81.7
Saint Vincent and the Grenadines,2004,2712.0,79.25,75.53
Samoa,2004,2882.0,75.98,130.42
Sao Tome and Principe,2004,2513.0,57.55,69.71
Saudi Arabia,2004,2959.0,81.64,79.66
Senegal,2004,2248.0,56.82,63.61
Serbia and Montenegro,2004,2701.0,77.59,112.0
Sierra Leone,2004,2024.0,49.03,51.63
Slovakia,2004,2817.0,71.26,104.61
Slovenia,2004,3158.0,99.31,120.71
Solomon Islands,2004,2402.0,53.22,47.1
South Africa,2004,2940.0,77.92,78.26
Spain,2004,3246.0,110.73,145.43
Sri Lanka,2004,2348.0,54.79,41.96
Sudan (former),2004,2271.0,73.55,70.77
Suriname,2004,2557.0,56.06,73.57
Sweden,2004,3147.0,108.34,125.22
Switzerland,2004,3412.0,92.76,152.9
Tajikistan,2004,1979.0,49.06,52.06
Thailand,2004,2651.0,58.52,57.5
Timor-Leste,2004,2040.0,53.82,40.44
Togo,2004,2246.0,50.29,49.42
Trinidad and Tobago,2004,2776.0,71.37,81.94
