Country Name,Country Code,Missing Count,Missing Years
Afghanistan,AFG,1,['2024']
Bhutan,BTN,1,['2024']
Cuba,CUB,4,"['2021', '2022', '2023', '2024']"
Eritrea,ERI,13,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']"
"Korea, Dem. People's Rep.",PRK,25,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']"
Lebanon,LBN,1,['2024']
Liechtenstein,LIE,1,['2024']
Palau,PLW,1,['2024']
San Marino,SMR,1,['2024']
South Sudan,SSD,17,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2007', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024']"
Syrian Arab Republic,SYR,2,"['2023', '2024']"
Tonga,TON,1,['2024']
Tuvalu,TUV,1,['2024']
"Yemen, Rep.",YEM,6,"['2019', '2020', '2021', '2022', '2023', '2024']"
