Country Name,Country Code,Year,Prevalance of Anemia %
Afghanistan,AFG,2012,33.7
Albania,ALB,2012,22.8
Algeria,DZA,2012,33.4
Andorra,AND,2012,17.4
Angola,AGO,2012,45.4
Antigua and Barbuda,ATG,2012,23.7
Argentina,ARG,2012,27.3
Armenia,ARM,2012,23.1
Australia,AUS,2012,15.7
Austria,AUT,2012,17.5
Azerbaijan,AZE,2012,33.7
Bahrain,BHR,2012,30.0
Bangladesh,BGD,2012,42.7
Barbados,BRB,2012,24.0
Belarus,BLR,2012,24.1
Belgium,BEL,2012,14.2
Belize,BLZ,2012,25.6
Benin,BEN,2012,60.8
Bhutan,BTN,2012,35.2
Bolivia,BOL,2012,29.4
Bosnia and Herzegovina,BIH,2012,26.6
Botswana,BWA,2012,30.5
Brazil,BRA,2012,21.4
Bulgaria,BGR,2012,25.5
Burkina Faso,BFA,2012,52.2
Burundi,BDI,2012,37.3
Cabo Verde,CPV,2012,45.1
Cambodia,KHM,2012,47.2
Cameroon,CMR,2012,42.6
Canada,CAN,2012,16.0
Central African Republic,CAF,2012,48.4
Chad,TCD,2012,55.7
Chile,CHL,2012,22.4
China,CHN,2012,18.1
Colombia,COL,2012,26.0
Comoros,COM,2012,35.0
Costa Rica,CRI,2012,21.5
Croatia,HRV,2012,24.9
Cuba,CUB,2012,25.7
Cyprus,CYP,2012,17.8
Czechia,CZE,2012,24.8
Denmark,DNK,2012,17.8
Djibouti,DJI,2012,35.6
Dominica,DMA,2012,26.3
Dominican Republic,DOM,2012,26.3
Ecuador,ECU,2012,27.7
El Salvador,SLV,2012,21.9
Equatorial Guinea,GNQ,2012,44.2
Eritrea,ERI,2012,39.7
Estonia,EST,2012,24.8
Eswatini,SWZ,2012,28.9
Ethiopia,ETH,2012,25.0
Fiji,FJI,2012,33.3
Finland,FIN,2012,16.0
France,FRA,2012,14.5
Gabon,GAB,2012,55.0
Georgia,GEO,2012,31.1
Germany,DEU,2012,16.2
Ghana,GHA,2012,48.6
Greece,GRC,2012,17.6
Grenada,GRD,2012,25.3
Guatemala,GTM,2012,18.1
Guinea,GIN,2012,54.8
Guinea-Bissau,GNB,2012,51.5
Guyana,GUY,2012,33.4
Haiti,HTI,2012,47.4
Honduras,HND,2012,21.9
Hungary,HUN,2012,24.6
Iceland,ISL,2012,16.5
India,IND,2012,49.6
Indonesia,IDN,2012,32.4
Iraq,IRQ,2012,31.5
Ireland,IRL,2012,16.8
Israel,ISR,2012,17.2
Italy,ITA,2012,17.6
Jamaica,JAM,2012,25.1
Japan,JPN,2012,28.4
Jordan,JOR,2012,31.0
Kazakhstan,KAZ,2012,31.0
Kenya,KEN,2012,38.6
Kiribati,KIR,2012,31.2
Kuwait,KWT,2012,27.6
Latvia,LVA,2012,22.7
Lebanon,LBN,2012,30.3
Lesotho,LSO,2012,30.7
Liberia,LBR,2012,47.2
Libya,LBY,2012,30.6
Liechtenstein,LIE,2012,
Lithuania,LTU,2012,24.3
Luxembourg,LUX,2012,16.6
Madagascar,MDG,2012,36.7
Malawi,MWI,2012,36.6
Malaysia,MYS,2012,31.9
Maldives,MDV,2012,46.7
Mali,MLI,2012,59.8
Malta,MLT,2012,17.5
Marshall Islands,MHL,2012,28.2
Mauritania,MRT,2012,53.6
Mauritius,MUS,2012,30.3
Mexico,MEX,2012,22.4
Moldova,MDA,2012,28.2
Monaco,MCO,2012,17.2
Mongolia,MNG,2012,28.1
Montenegro,MNE,2012,27.6
Morocco,MAR,2012,32.0
Mozambique,MOZ,2012,50.8
Myanmar,MMR,2012,45.2
Namibia,NAM,2012,26.4
Nauru,NRU,2012,25.6
Nepal,NPL,2012,39.1
Netherlands,NLD,2012,17.4
New Zealand,NZL,2012,14.0
Nicaragua,NIC,2012,
Niger,NER,2012,54.3
Nigeria,NGA,2012,49.6
North Macedonia,MKD,2012,24.4
Norway,NOR,2012,17.5
Oman,OMN,2012,35.1
Pakistan,PAK,2012,45.6
Palau,PLW,2012,26.7
Panama,PAN,2012,26.8
Papua New Guinea,PNG,2012,31.4
Paraguay,PRY,2012,26.5
Peru,PER,2012,26.7
Philippines,PHL,2012,32.8
Poland,POL,2012,24.4
Portugal,PRT,2012,17.5
Qatar,QAT,2012,26.4
Romania,ROU,2012,25.5
Rwanda,RWA,2012,22.3
Samoa,WSM,2012,25.9
San Marino,SMR,2012,17.3
Sao Tome and Principe,STP,2012,43.7
Saudi Arabia,SAU,2012,21.9
Senegal,SEN,2012,57.8
Serbia,SRB,2012,25.0
Seychelles,SYC,2012,27.6
Sierra Leone,SLE,2012,51.4
Singapore,SGP,2012,18.0
Slovenia,SVN,2012,24.8
Solomon Islands,SLB,2012,35.9
South Africa,ZAF,2012,28.7
South Sudan,SSD,2012,38.8
Spain,ESP,2012,17.6
Sri Lanka,LKA,2012,27.8
Sudan,SDN,2012,35.9
Suriname,SUR,2012,25.8
Sweden,SWE,2012,17.7
Switzerland,CHE,2012,15.6
Tajikistan,TJK,2012,38.1
Tanzania,TZA,2012,49.5
Thailand,THA,2012,28.7
Timor-Leste,TLS,2012,32.8
Togo,TGO,2012,54.1
Tonga,TON,2012,23.7
Trinidad and Tobago,TTO,2012,24.4
Tunisia,TUN,2012,31.8
Turkmenistan,TKM,2012,34.1
Tuvalu,TUV,2012,26.4
Uganda,UGA,2012,34.7
Ukraine,UKR,2012,23.2
United Arab Emirates,ARE,2012,28.7
United Kingdom,GBR,2012,16.5
United States,USA,2012,10.7
Uruguay,URY,2012,25.9
Uzbekistan,UZB,2012,35.5
Vanuatu,VUT,2012,32.1
Zambia,ZMB,2012,37.2
Zimbabwe,ZWE,2012,31.5
