Country,Country Code,Year,Value
Afghanistan,AFG,2022,0.495
Albania,ALB,2022,0.806
Algeria,DZA,2022,0.761
Andorra,AND,2022,0.893
Angola,AGO,2022,0.615
Antigua and Barbuda,ATG,2022,0.848
Argentina,ARG,2022,0.858
Armenia,ARM,2022,0.801
Australia,AUS,2022,0.952
Austria,AUT,2022,0.927
Azerbaijan,AZE,2022,0.784
Bahamas,BHS,2022,0.818
Bahrain,BHR,2022,0.902
Bangladesh,BGD,2022,0.68
Barbados,BRB,2022,0.807
Belarus,BLR,2022,0.824
Belgium,BEL,2022,0.945
Belize,BLZ,2022,0.717
Benin,BEN,2022,0.512
Bhutan,BTN,2022,0.695
Bolivia,BOL,2022,0.727
Bosnia and Herzegovina,BIH,2022,0.799
Botswana,BWA,2022,0.729
Brazil,BRA,2022,0.78
Brunei,BRN,2022,0.825
Bulgaria,BGR,2022,0.835
Burkina Faso,BFA,2022,0.457
Burundi,BDI,2022,0.437
Cabo Verde,CPV,2022,0.664
Cambodia,KHM,2022,0.602
Cameroon,CMR,2022,0.581
Canada,CAN,2022,0.935
Central African Republic,CAF,2022,
Chad,TCD,2022,0.414
Chile,CHL,2022,0.869
China,CHN,2022,0.796
Colombia,COL,2022,0.782
Comoros,COM,2022,0.602
Congo,COG,2022,0.644
Costa Rica,CRI,2022,0.823
Croatia,HRV,2022,0.886
Cuba,CUB,2022,0.764
Cyprus,CYP,2022,0.908
Czechia,CZE,2022,0.911
Côte d'Ivoire,CIV,2022,0.565
Democratic Republic of the Congo,COD,2022,0.514
Denmark,DNK,2022,0.959
Djibouti,DJI,2022,0.51
Dominica,DMA,2022,0.759
Dominican Republic,DOM,2022,0.778
Ecuador,ECU,2022,0.773
Egypt,EGY,2022,0.751
El Salvador,SLV,2022,0.674
Equatorial Guinea,GNQ,2022,0.677
Eritrea,ERI,2022,0.499
Estonia,EST,2022,0.902
Eswatini,SWZ,2022,0.695
Ethiopia,ETH,2022,0.494
Fiji,FJI,2022,0.726
Finland,FIN,2022,0.946
France,FRA,2022,0.916
Gabon,GAB,2022,0.73
Gambia,GMB,2022,0.519
Georgia,GEO,2022,0.838
Germany,DEU,2022,0.955
Ghana,GHA,2022,0.625
Greece,GRC,2022,0.897
Grenada,GRD,2022,0.789
Guatemala,GTM,2022,0.655
Guinea,GIN,2022,0.498
Guinea-Bissau,GNB,2022,0.511
Guyana,GUY,2022,0.763
Haiti,HTI,2022,0.552
Honduras,HND,2022,0.643
Hungary,HUN,2022,0.867
Iceland,ISL,2022,0.964
India,IND,2022,0.676
Indonesia,IDN,2022,0.726
Iran,IRN,2022,0.793
Iraq,IRQ,2022,0.695
Ireland,IRL,2022,0.947
Israel,ISR,2022,0.921
Italy,ITA,2022,0.905
Jamaica,JAM,2022,0.718
Japan,JPN,2022,0.921
Jordan,JOR,2022,0.751
Kazakhstan,KAZ,2022,0.831
Kenya,KEN,2022,0.626
Kiribati,KIR,2022,0.642
Kuwait,KWT,2022,0.845
Kyrgyzstan,KGZ,2022,0.717
Laos,LAO,2022,0.614
Latvia,LVA,2022,0.881
Lebanon,LBN,2022,0.755
Lesotho,LSO,2022,0.547
Liberia,LBR,2022,0.508
Libya,LBY,2022,0.741
Liechtenstein,LIE,2022,0.936
Lithuania,LTU,2022,0.888
Luxembourg,LUX,2022,0.922
Madagascar,MDG,2022,0.483
Malawi,MWI,2022,0.513
Malaysia,MYS,2022,0.81
Maldives,MDV,2022,0.764
Mali,MLI,2022,0.417
Malta,MLT,2022,0.917
Marshall Islands,MHL,2022,0.732
Mauritania,MRT,2022,0.562
Mauritius,MUS,2022,0.794
Mexico,MEX,2022,0.783
Micronesia,FSM,2022,0.614
Moldova,MDA,2022,0.784
Monaco,MCO,2022,
Mongolia,MNG,2022,0.742
Montenegro,MNE,2022,0.853
Morocco,MAR,2022,0.704
Mozambique,MOZ,2022,0.49
Myanmar,MMR,2022,0.606
Namibia,NAM,2022,0.649
Nauru,NRU,2022,0.7
Nepal,NPL,2022,0.605
Netherlands,NLD,2022,0.953
New Zealand,NZL,2022,0.933
Nicaragua,NIC,2022,0.701
Niger,NER,2022,0.414
Nigeria,NGA,2022,0.557
North Korea,PRK,2022,
North Macedonia,MKD,2022,0.811
Norway,NOR,2022,0.967
Oman,OMN,2022,0.846
Pakistan,PAK,2022,0.544
Palau,PLW,2022,0.786
Palestine,PSE,2022,0.733
Panama,PAN,2022,0.835
Papua New Guinea,PNG,2022,0.572
Paraguay,PRY,2022,0.747
Peru,PER,2022,0.79
Philippines,PHL,2022,0.714
Poland,POL,2022,0.902
Portugal,PRT,2022,0.883
Qatar,QAT,2022,0.883
Romania,ROU,2022,0.84
Russia,RUS,2022,0.826
Rwanda,RWA,2022,0.57
Saint Kitts and Nevis,KNA,2022,0.829
Saint Lucia,LCA,2022,0.747
Saint Vincent and the Grenadines,VCT,2022,0.794
Samoa,WSM,2022,0.703
San Marino,SMR,2022,0.91
Sao Tome and Principe,STP,2022,0.636
Saudi Arabia,SAU,2022,0.893
Senegal,SEN,2022,0.526
Serbia,SRB,2022,0.826
Seychelles,SYC,2022,0.836
Sierra Leone,SLE,2022,0.463
Singapore,SGP,2022,0.942
Slovakia,SVK,2022,0.873
Slovenia,SVN,2022,0.926
Solomon Islands,SLB,2022,0.583
Somalia,SOM,2022,0.385
South Africa,ZAF,2022,0.737
South Korea,KOR,2022,0.928
South Sudan,SSD,2022,0.388
Spain,ESP,2022,0.911
Sri Lanka,LKA,2022,0.777
Sudan,SDN,2022,0.516
Suriname,SUR,2022,0.719
Sweden,SWE,2022,0.959
Switzerland,CHE,2022,0.966
Syria,SYR,2022,0.571
Tajikistan,TJK,2022,0.687
Tanzania,TZA,2022,0.554
Thailand,THA,2022,0.792
Timor-Leste,TLS,2022,0.633
Togo,TGO,2022,0.567
Tonga,TON,2022,0.764
Trinidad and Tobago,TTO,2022,0.805
Tunisia,TUN,2022,0.745
Turkmenistan,TKM,2022,0.761
Tuvalu,TUV,2022,0.686
Türkiye,TUR,2022,0.853
Uganda,UGA,2022,0.578
Ukraine,UKR,2022,0.772
United Arab Emirates,ARE,2022,0.921
United Kingdom,GBR,2022,0.946
United States,USA,2022,0.93
Uruguay,URY,2022,0.852
Uzbekistan,UZB,2022,0.737
Vanuatu,VUT,2022,0.621
Vatican City,VAT,2022,
Venezuela,VEN,2022,0.706
Vietnam,VNM,2022,0.764
Yemen,YEM,2022,0.466
Zambia,ZMB,2022,0.589
Zimbabwe,ZWE,2022,0.594
