Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Afghanistan,AFG,2004,9.1
Albania,ALB,2004,
Algeria,DZA,2004,
Andorra,AND,2004,
Angola,AGO,2004,
Antigua and Barbuda,ATG,2004,
Argentina,ARG,2004,
Armenia,ARM,2004,
Australia,AUS,2004,
Austria,AUT,2004,
Azerbaijan,AZE,2004,
Bahamas,BHS,2004,
Bahrain,BHR,2004,
Bangladesh,BGD,2004,14.6
Barbados,BRB,2004,
Belarus,BLR,2004,
Belgium,BEL,2004,
Belize,BLZ,2004,
Benin,BEN,2004,
Bhutan,BTN,2004,
Bolivia,BOL,2004,
Bosnia and Herzegovina,BIH,2004,
Botswana,BWA,2004,
Brazil,BRA,2004,
Brunei,BRN,2004,
Bulgaria,BGR,2004,3.6
Burkina Faso,BFA,2004,
Burundi,BDI,2004,
Cabo Verde,CPV,2004,
Cambodia,KHM,2004,
Cameroon,CMR,2004,6.2
Canada,CAN,2004,
Central African Republic,CAF,2004,
Chad,TCD,2004,16.2
Chile,CHL,2004,0.5
China,CHN,2004,
Colombia,COL,2004,
Comoros,COM,2004,
Congo,COG,2004,
Costa Rica,CRI,2004,
Croatia,HRV,2004,
Cuba,CUB,2004,
Cyprus,CYP,2004,
Czechia,CZE,2004,
Côte d'Ivoire,CIV,2004,
Democratic Republic of the Congo,COD,2004,
Denmark,DNK,2004,
Djibouti,DJI,2004,
Dominica,DMA,2004,
Dominican Republic,DOM,2004,
Ecuador,ECU,2004,2.0
Egypt,EGY,2004,
El Salvador,SLV,2004,
Equatorial Guinea,GNQ,2004,2.7
Eritrea,ERI,2004,
Estonia,EST,2004,
Eswatini,SWZ,2004,
Ethiopia,ETH,2004,
Fiji,FJI,2004,6.4
Finland,FIN,2004,
France,FRA,2004,
Gabon,GAB,2004,
Gambia,GMB,2004,
Georgia,GEO,2004,
Germany,DEU,2004,1.0
Ghana,GHA,2004,
Greece,GRC,2004,
Grenada,GRD,2004,
Guatemala,GTM,2004,
Guinea,GIN,2004,
Guinea-Bissau,GNB,2004,
Guyana,GUY,2004,
Haiti,HTI,2004,
Honduras,HND,2004,2.1
Hungary,HUN,2004,
Iceland,ISL,2004,
India,IND,2004,
Indonesia,IDN,2004,14.4
Iran,IRN,2004,4.8
Iraq,IRQ,2004,6.9
Ireland,IRL,2004,
Israel,ISR,2004,
Italy,ITA,2004,
Jamaica,JAM,2004,4.5
Japan,JPN,2004,
Jordan,JOR,2004,
