Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2006,26.6
Albania,ALB,2006,8.7
Algeria,DZA,2006,5.8
Andorra,AND,2006,
Angola,AGO,2006,36.0
Antigua and Barbuda,ATG,2006,
Argentina,ARG,2006,3.3
Armenia,ARM,2006,10.9
Australia,AUS,2006,2.5
Austria,AUT,2006,2.5
Azerbaijan,AZE,2006,3.1
Bahamas,BHS,2006,
Bahrain,BHR,2006,
Bangladesh,BGD,2006,15.4
Barbados,BRB,2006,4.1
Belarus,BLR,2006,2.5
Belgium,BEL,2006,2.5
Belize,BLZ,2006,4.9
Benin,BEN,2006,8.9
Bhutan,BTN,2006,
Bolivia,BOL,2006,26.0
Bosnia and Herzegovina,BIH,2006,2.5
Botswana,BWA,2006,26.6
Brazil,BRA,2006,5.1
Brunei,BRN,2006,
Bulgaria,BGR,2006,6.3
Burkina Faso,BFA,2006,16.5
Burundi,BDI,2006,
Cabo Verde,CPV,2006,13.1
Cambodia,KHM,2006,14.4
Cameroon,CMR,2006,11.2
Canada,CAN,2006,2.5
Central African Republic,CAF,2006,33.0
Chad,TCD,2006,28.6
Chile,CHL,2006,2.7
China,CHN,2006,6.0
Colombia,COL,2006,11.3
Comoros,COM,2006,16.1
Congo,COG,2006,30.5
Costa Rica,CRI,2006,3.3
Croatia,HRV,2006,2.7
Cuba,CUB,2006,2.5
Cyprus,CYP,2006,3.8
Czechia,CZE,2006,2.5
Côte d'Ivoire,CIV,2006,17.5
Democratic Republic of the Congo,COD,2006,27.4
Denmark,DNK,2006,2.5
Djibouti,DJI,2006,24.6
Dominica,DMA,2006,4.6
Dominican Republic,DOM,2006,18.9
Ecuador,ECU,2006,15.0
Egypt,EGY,2006,5.4
El Salvador,SLV,2006,9.2
Equatorial Guinea,GNQ,2006,
Eritrea,ERI,2006,
Estonia,EST,2006,2.5
Eswatini,SWZ,2006,13.9
Ethiopia,ETH,2006,32.7
Fiji,FJI,2006,5.0
Finland,FIN,2006,2.5
France,FRA,2006,2.5
Gabon,GAB,2006,14.5
Gambia,GMB,2006,15.5
Georgia,GEO,2006,5.3
Germany,DEU,2006,2.5
Ghana,GHA,2006,10.4
Greece,GRC,2006,2.5
Grenada,GRD,2006,
Guatemala,GTM,2006,18.1
Guinea,GIN,2006,16.8
Guinea-Bissau,GNB,2006,19.3
Guyana,GUY,2006,7.6
Haiti,HTI,2006,45.9
Honduras,HND,2006,16.9
Hungary,HUN,2006,2.5
Iceland,ISL,2006,2.5
India,IND,2006,18.9
Indonesia,IDN,2006,18.1
Iran,IRN,2006,6.9
Iraq,IRQ,2006,16.5
Ireland,IRL,2006,2.5
Israel,ISR,2006,2.5
Italy,ITA,2006,2.5
Jamaica,JAM,2006,7.3
