Country Name,Country Code,Year,Value
Afghanistan,AFG,2018,41.2
Albania,ALB,2018,11.1
Algeria,DZA,2018,9.7
Andorra,AND,2018,
Angola,AGO,2018,39.1
Antigua and Barbuda,ATG,2018,
Argentina,ARG,2018,8.2
Armenia,ARM,2018,8.9
Australia,AUS,2018,3.2
Austria,AUT,2018,
Azerbaijan,AZE,2018,10.0
Bahamas,BHS,2018,
Bahrain,BHR,2018,5.2
Bangladesh,BGD,2018,29.8
Barbados,BRB,2018,6.2
Belarus,BLR,2018,1.5
Belgium,BEL,2018,2.5
Belize,BLZ,2018,13.4
Benin,BEN,2018,33.3
Bhutan,BTN,2018,21.1
Bolivia,BOL,2018,13.8
Bosnia and Herzegovina,BIH,2018,8.4
Botswana,BWA,2018,22.5
Brazil,BRA,2018,7.5
Brunei,BRN,2018,12.5
Bulgaria,BGR,2018,6.1
Burkina Faso,BFA,2018,23.0
Burundi,BDI,2018,53.4
Cabo Verde,CPV,2018,6.2
Cambodia,KHM,2018,25.2
Cameroon,CMR,2018,28.7
Canada,CAN,2018,
Central African Republic,CAF,2018,38.8
Chad,TCD,2018,33.3
Chile,CHL,2018,1.7
China,CHN,2018,5.5
Colombia,COL,2018,11.6
Comoros,COM,2018,22.4
Congo,COG,2018,18.9
Costa Rica,CRI,2018,8.1
Cote d'Ivoire,CIV,2018,23.5
Croatia,HRV,2018,
Cuba,CUB,2018,7.1
Cyprus,CYP,2018,
Czechia,CZE,2018,2.3
Democratic Republic of the Congo,COD,2018,42.5
Denmark,DNK,2018,
Djibouti,DJI,2018,23.4
Dominica,DMA,2018,
Dominican Republic,DOM,2018,6.9
Ecuador,ECU,2018,20.0
Egypt,EGY,2018,16.1
El Salvador,SLV,2018,11.1
Equatorial Guinea,GNQ,2018,19.5
Eritrea,ERI,2018,50.2
Estonia,EST,2018,1.2
Eswatini,SWZ,2018,22.2
Ethiopia,ETH,2018,37.2
Fiji,FJI,2018,6.3
Finland,FIN,2018,1.6
France,FRA,2018,
Gabon,GAB,2018,14.8
Gambia,GMB,2018,17.6
