iter	MultiClass
0	1.338928326
1	1.298280503
2	1.269802002
3	1.24724529
4	1.21809272
5	1.189057928
6	1.164537026
7	1.14190171
8	1.123142938
9	1.100861035
10	1.078940171
11	1.056646514
12	1.036300074
13	1.017760551
14	1.003086242
15	0.9830298773
16	0.9633554667
17	0.9455647398
18	0.931831273
19	0.9146133024
20	0.9000420431
21	0.888373629
22	0.8737741762
23	0.8612598334
24	0.849538798
25	0.8387089264
26	0.8250433141
27	0.8107074919
28	0.8000321035
29	0.7908585079
30	0.7797041544
31	0.7682446048
32	0.7574339203
33	0.7476454718
34	0.7347808006
35	0.7259966457
36	0.7171965104
37	0.7094689649
38	0.6975056407
39	0.6911594194
40	0.6836463512
41	0.6750390629
42	0.6667816142
43	0.6590823796
44	0.6500879857
45	0.6422819821
46	0.6329032944
47	0.6242247128
48	0.6137862467
49	0.6080379215
50	0.5989984974
51	0.5914228425
52	0.5848159611
53	0.5760930131
54	0.5681432443
55	0.5618615611
56	0.5559436477
57	0.5500497936
58	0.5425579608
59	0.5355197864
60	0.5284140659
61	0.5227436036
62	0.515683973
63	0.5077727586
64	0.5004243149
65	0.4946560934
66	0.4886101814
67	0.4812068239
68	0.4758107842
69	0.4699509382
70	0.4663214513
71	0.4599674062
72	0.4559224331
73	0.4518038413
74	0.4457044515
75	0.4405661881
76	0.4361644015
77	0.4305864166
78	0.4258757079
79	0.4203923367
80	0.4131919969
81	0.4080088533
82	0.4033067525
83	0.3992317625
84	0.3935729089
85	0.3887054891
86	0.3844287418
87	0.3789634686
88	0.374579116
89	0.3700742213
90	0.366510625
91	0.362288166
92	0.3573837891
93	0.3534045415
94	0.3493209605
95	0.3449810266
96	0.3412655808
97	0.3372739279
98	0.3336357056
99	0.3303744401
100	0.3268131124
101	0.3227493746
102	0.3181093054
103	0.3148057448
104	0.3106606568
105	0.307753563
106	0.3044829206
107	0.3012567523
108	0.2983649015
109	0.2943882587
110	0.29231724
111	0.2886617881
112	0.2858139101
113	0.2834959197
114	0.2803025157
115	0.2775150327
116	0.2741649578
117	0.2713491224
118	0.2688969961
119	0.2661463413
120	0.2635559306
121	0.2609596608
122	0.2589086929
123	0.257293974
124	0.2550349976
125	0.2524789915
126	0.2508045456
127	0.2481018206
128	0.2452622022
129	0.2428115043
130	0.2406875392
131	0.2381371079
132	0.2366774811
133	0.2346760395
134	0.2323345829
135	0.2304919829
136	0.2286744534
137	0.2266596046
138	0.2240563217
139	0.2216526058
140	0.2201592344
141	0.2184792231
142	0.2165241759
143	0.2148309629
144	0.2118485922
145	0.2100163457
146	0.2082613035
147	0.2066710572
148	0.2053451239
149	0.2037556649
150	0.2020069761
151	0.2006408017
152	0.1992628806
153	0.1979330303
154	0.1965492391
155	0.1947811616
156	0.1930375805
157	0.1916045017
158	0.1904106576
159	0.1888254098
160	0.1878731906
161	0.1860965347
162	0.1851247378
163	0.1838127393
164	0.1822901219
165	0.1809392406
166	0.1793902323
167	0.1788404473
168	0.1777861591
169	0.1765424734
170	0.1755434606
171	0.1741678925
172	0.1729265949
173	0.1716551965
174	0.170302113
175	0.1692701782
176	0.167976505
177	0.166979242
178	0.1658287575
179	0.1644521738
180	0.163584515
181	0.1626243858
182	0.1614697307
183	0.1602982881
184	0.1592907569
185	0.158019684
186	0.1566997703
187	0.1556984681
188	0.1546357705
189	0.1536988053
190	0.1525498663
191	0.1516992453
192	0.1508232749
193	0.1500759137
194	0.1493482784
195	0.1484700867
196	0.1474751894
197	0.1465371893
198	0.145535644
199	0.1444312993
