iter	Passed	Remaining
0	1	357
1	3	334
2	4	316
3	6	302
4	7	294
5	8	287
6	10	287
7	11	285
8	13	285
9	14	284
10	16	283
11	17	279
12	19	281
13	21	280
14	22	277
15	23	274
16	25	271
17	26	270
18	28	270
19	30	270
20	31	270
21	33	269
22	35	269
23	36	270
24	38	269
25	40	270
26	42	269
27	43	269
28	45	269
29	47	268
30	49	267
31	50	267
32	52	267
33	54	266
34	56	266
35	58	265
36	60	265
37	61	264
38	63	263
39	65	263
40	67	263
41	69	262
42	71	260
43	73	259
44	74	257
45	76	256
46	78	254
47	79	252
48	81	251
49	83	249
50	84	247
51	86	246
52	88	245
53	90	244
54	92	243
55	94	241
56	95	239
57	96	237
58	98	235
59	99	233
60	101	231
61	102	229
62	104	226
63	105	224
64	107	222
65	108	220
66	109	218
67	111	216
68	113	214
69	114	212
70	115	210
71	117	208
72	119	207
73	120	205
74	122	203
75	123	201
76	125	200
77	126	198
78	128	196
79	129	194
80	130	192
81	132	190
82	133	188
83	135	186
84	136	184
85	137	182
86	139	181
87	140	179
88	142	177
89	144	176
90	145	174
91	147	173
92	149	171
93	150	170
94	152	168
95	153	166
96	155	164
97	156	163
98	158	161
99	159	159
100	160	157
101	162	155
102	163	154
103	165	152
104	166	150
105	167	148
106	169	147
107	171	145
108	172	144
109	173	142
110	175	140
111	176	138
112	178	137
113	179	135
114	181	133
115	182	132
116	184	130
117	185	128
118	186	127
119	188	125
120	189	123
121	191	122
122	193	120
123	194	119
124	196	117
125	198	116
126	199	114
127	201	113
128	202	111
129	204	109
130	205	108
131	207	106
132	208	105
133	210	103
134	211	101
135	212	100
136	214	98
137	215	96
138	217	95
139	218	93
140	219	92
141	221	90
142	223	88
143	224	87
144	226	85
145	227	84
146	228	82
147	230	80
148	232	79
149	233	77
150	234	76
151	236	74
152	237	73
153	239	71
154	240	69
155	242	68
156	243	66
157	244	65
158	246	63
159	247	61
160	249	60
161	250	58
162	251	57
163	253	55
164	254	54
165	256	52
166	257	50
167	257	49
168	259	47
169	260	46
170	262	44
171	263	42
172	265	41
173	266	39
174	267	38
175	269	36
176	270	35
177	271	33
178	273	32
179	274	30
180	275	28
181	277	27
182	278	25
183	280	24
184	281	22
185	283	21
186	284	19
187	285	18
188	287	16
189	288	15
190	290	13
191	291	12
192	292	10
193	294	9
194	295	7
195	297	6
196	298	4
197	299	3
198	301	1
199	303	0
