Country Name,Country Code,Year,Food production index (2014-2016 = 100)
Afghanistan,AFG,2002,74.72
Albania,ALB,2002,65.88
Algeria,DZA,2002,45.61
Andorra,AND,2002,
Angola,AGO,2002,41.72
Antigua and Barbuda,ATG,2002,144.38
Argentina,ARG,2002,68.91
Armenia,ARM,2002,49.72
Australia,AUS,2002,88.75
Austria,AUT,2002,96.98
Azerbaijan,AZE,2002,63.6
Bahamas,BHS,2002,65.67
Bahrain,BHR,2002,33.26
Bangladesh,BGD,2002,60.55
Barbados,BRB,2002,108.24
Belarus,BLR,2002,74.14
Belgium,BEL,2002,97.87
Belize,BLZ,2002,87.52
Benin,BEN,2002,65.18
Bhutan,BTN,2002,48.8
Bolivia,BOL,2002,57.97
Bosnia and Herzegovina,BIH,2002,74.14
Botswana,BWA,2002,89.75
Brazil,BRA,2002,63.61
Brunei,BRN,2002,69.45
Bulgaria,BGR,2002,86.97
Burkina Faso,BFA,2002,53.28
Burundi,BDI,2002,98.97
CÃ´te d'Ivoire,CIV,2002,67.86
Cabo Verde,CPV,2002,91.67
Cambodia,KHM,2002,36.21
Cameroon,CMR,2002,46.89
Canada,CAN,2002,66.56
Central African Republic,CAF,2002,60.17
Chad,TCD,2002,49.02
Chile,CHL,2002,76.16
China,CHN,2002,67.12
Colombia,COL,2002,77.55
Comoros,COM,2002,62.1
Congo,COG,2002,60.25
Costa Rica,CRI,2002,69.17
Croatia,HRV,2002,81.17
Cuba,CUB,2002,114.29
Cyprus,CYP,2002,143.22
Czechia,CZE,2002,99.15
Democratic Republic of the Congo,COD,2002,47.58
Denmark,DNK,2002,97.49
Djibouti,DJI,2002,115.72
Dominica,DMA,2002,84.15
Dominican Republic,DOM,2002,66.47
Ecuador,ECU,2002,75.49
Egypt,EGY,2002,74.43
El Salvador,SLV,2002,90.26
Equatorial Guinea,GNQ,2002,75.54
Eritrea,ERI,2002,69.3
Estonia,EST,2002,71.25
Eswatini,SWZ,2002,83.7
Ethiopia,ETH,2002,47.96
Fiji,FJI,2002,132.8
Finland,FIN,2002,101.94
France,FRA,2002,104.46
Gabon,GAB,2002,77.26
Gambia,GMB,2002,79.77
Georgia,GEO,2002,131.44
Germany,DEU,2002,89.99
Ghana,GHA,2002,60.07
Greece,GRC,2002,106.71
Grenada,GRD,2002,117.43
Guatemala,GTM,2002,58.2
Guinea,GIN,2002,58.16
Guinea-Bissau,GNB,2002,67.79
Guyana,GUY,2002,60.41
Haiti,HTI,2002,65.54
Honduras,HND,2002,72.47
Hungary,HUN,2002,92.41
Iceland,ISL,2002,80
India,IND,2002,59.89
Indonesia,IDN,2002,76.92
Iran,IRN,2002,81.51
Iraq,IRQ,2002,141.99
Ireland,IRL,2002,89.98
Israel,ISR,2002,82.02
Italy,ITA,2002,109.62
Jamaica,JAM,2002,97.47
Japan,JPN,2002,100.92
Jordan,JOR,2002,63.46
Kazakhstan,KAZ,2002,67.22
Kenya,KEN,2002,67.9
Kiribati,KIR,2002,57.06
Kuwait,KWT,2002,38.92
Kyrgyzstan,KGZ,2002,79.18
Laos,LAO,2002,39.82
Latvia,LVA,2002,64.97
Lebanon,LBN,2002,94.34
Lesotho,LSO,2002,100.78
Liberia,LBR,2002,64.36
Libya,LBY,2002,92.14
Liechtenstein,LIE,2002,
Lithuania,LTU,2002,75.65
Luxembourg,LUX,2002,94.03
Madagascar,MDG,2002,73.41
Malawi,MWI,2002,35.75
Malaysia,MYS,2002,63.39
Maldives,MDV,2002,118.18
Mali,MLI,2002,44
Malta,MLT,2002,118.38
Marshall Islands,MHL,2002,59.33
Mauritania,MRT,2002,73.68
Mauritius,MUS,2002,102.57
Mexico,MEX,2002,76.49
Micronesia,FSM,2002,73.7
Moldova,MDA,2002,93.1
Monaco,MCO,2002,
Mongolia,MNG,2002,53.57
Montenegro,MNE,2002,
Morocco,MAR,2002,62.82
Mozambique,MOZ,2002,64.12
Myanmar,MMR,2002,55.7
Namibia,NAM,2002,93.92
Nauru,NRU,2002,88.94
Nepal,NPL,2002,64.46
Netherlands,NLD,2002,87.21
New Zealand,NZL,2002,75.58
Nicaragua,NIC,2002,59.11
Niger,NER,2002,50.91
Nigeria,NGA,2002,67.65
North Korea,PRK,2002,98.01
North Macedonia,MKD,2002,67.76
Norway,NOR,2002,90.73
Oman,OMN,2002,59.72
Pakistan,PAK,2002,60.47
Palau,PLW,2002,
Palestine,PSE,2002,152.04
Panama,PAN,2002,78.57
Papua New Guinea,PNG,2002,75.8
Paraguay,PRY,2002,48.68
Peru,PER,2002,59.35
Philippines,PHL,2002,74.97
Poland,POL,2002,91.16
Portugal,PRT,2002,95.66
Qatar,QAT,2002,64.81
Romania,ROU,2002,87.81
Russia,RUS,2002,75.53
Rwanda,RWA,2002,82.78
Saint Kitts and Nevis,KNA,2002,399.23
Saint Lucia,LCA,2002,171.64
Saint Vincent and the Grenadines,VCT,2002,80.62
Samoa,WSM,2002,107.71
San Marino,SMR,2002,
Sao Tome and Principe,STP,2002,112.81
Saudi Arabia,SAU,2002,90.89
Senegal,SEN,2002,44.04
Serbia,SRB,2002,
Seychelles,SYC,2002,136.71
Sierra Leone,SLE,2002,39.59
Singapore,SGP,2002,76.67
Slovakia,SVK,2002,113.68
Slovenia,SVN,2002,122.2
Solomon Islands,SLB,2002,92.27
Somalia,SOM,2002,101.28
South Africa,ZAF,2002,72.44
South Korea,KOR,2002,92.77
South Sudan,SSD,2002,
Spain,ESP,2002,92.14
Sri Lanka,LKA,2002,72.76
Sudan,SDN,2002,
Suriname,SUR,2002,57.47
Sweden,SWE,2002,98.92
Switzerland,CHE,2002,96.82
Syria,SYR,2002,120.97
TÃ¼rkiye,TUR,2002,72.71
Tajikistan,TJK,2002,35.04
Tanzania,TZA,2002,53.01
Thailand,THA,2002,81.65
Timor-Leste,TLS,2002,92.76
Togo,TGO,2002,64.63
Tonga,TON,2002,94.89
Trinidad and Tobago,TTO,2002,136.18
Tunisia,TUN,2002,58.63
Turkmenistan,TKM,2002,74.07
Tuvalu,TUV,2002,87.94
Uganda,UGA,2002,107.05
Ukraine,UKR,2002,68.16
United Arab Emirates,ARE,2002,119.93
United Kingdom,GBR,2002,93.96
United States,USA,2002,80.45
Uruguay,URY,2002,60.6
Uzbekistan,UZB,2002,40.19
Vanuatu,VUT,2002,63.12
Vatican City,VAT,2002,
Venezuela,VEN,2002,95.71
Vietnam,VNM,2002,62.35
Yemen,YEM,2002,62.1
Zambia,ZMB,2002,46.14
Zimbabwe,ZWE,2002,93.27
