Country Name,Country Code,Year,People using basic drinking water services (% of population)
Afghanistan,AFG,2009,46.88858421
Albania,ALB,2009,90.93441319
Algeria,DZA,2009,90.49186197
Andorra,AND,2009,99.99999717
Angola,AGO,2009,49.42317637
Antigua and Barbuda,ATG,2009,98.07235682
Argentina,ARG,2009,98.24073667
Armenia,ARM,2009,97.78103409
Australia,AUS,2009,99.86367871
Austria,AUT,2009,99.99999902
Azerbaijan,AZE,2009,83.82008694
Bahamas,BHS,2009,98.59539411
Bahrain,BHR,2009,99.94122053
Bangladesh,BGD,2009,96.26805157
Barbados,BRB,2009,98.49668111
Belarus,BLR,2009,98.3240931
Belgium,BEL,2009,100
Belize,BLZ,2009,91.63651426
Benin,BEN,2009,64.47128003
Bhutan,BTN,2009,91.75305311
Bolivia,BOL,2009,86.35517939
Bosnia and Herzegovina,BIH,2009,96.55753053
Botswana,BWA,2009,81.54820489
Brazil,BRA,2009,96.20741143
Brunei,BRN,2009,99.76403326
Bulgaria,BGR,2009,99.49188834
Burkina Faso,BFA,2009,53.86076206
Burundi,BDI,2009,56.33558253
C̫te d'Ivoire,CIV,2009,72.16580024
Cabo Verde,CPV,2009,82.75431408
Cambodia,KHM,2009,65.04926216
Cameroon,CMR,2009,62.77305843
Canada,CAN,2009,99.23586127
Central African Republic,CAF,2009,48.70127781
Chad,TCD,2009,43.96291376
Chile,CHL,2009,97.46913785
China,CHN,2009,87.67566007
Colombia,COL,2009,93.58975875
Comoros,COM,2009,86.67883406
Congo,COG,2009,65.31598344
Costa Rica,CRI,2009,97.75778541
Croatia,HRV,2009,99.49891553
Cuba,CUB,2009,92.96900631
Cyprus,CYP,2009,99.83475164
Czechia,CZE,2009,98.2763786
Democratic Republic of the Congo,COD,2009,37.00407056
Denmark,DNK,2009,99.99999731
Djibouti,DJI,2009,76.25516403
Dominica,DMA,2009,95.34585921
Dominican Republic,DOM,2009,94.34794597
Ecuador,ECU,2009,88.4054818
Egypt,EGY,2009,98.35621035
El Salvador,SLV,2009,82.39208938
Equatorial Guinea,GNQ,2009,59.29179444
Eritrea,ERI,2009,49.81032387
Estonia,EST,2009,98.77408129
Eswatini,SWZ,2009,62.26916761
Ethiopia,ETH,2009,32.58824467
Fiji,FJI,2009,95.04453508
Finland,FIN,2009,99.9999992
France,FRA,2009,99.99999828
Gabon,GAB,2009,84.13072125
Gambia,GMB,2009,77.92950551
Georgia,GEO,2009,95.30173902
Germany,DEU,2009,100
Ghana,GHA,2009,74.44220773
Greece,GRC,2009,99.9050216
Grenada,GRD,2009,95.39847254
Guatemala,GTM,2009,89.77841656
Guinea,GIN,2009,56.44839907
Guinea-Bissau,GNB,2009,58.73699305
Guyana,GUY,2009,91.79443674
Haiti,HTI,2009,62.98880529
Honduras,HND,2009,89.92276709
Hungary,HUN,2009,96.6891082
Iceland,ISL,2009,99.99999925
India,IND,2009,85.63714613
Indonesia,IDN,2009,84.39132533
Iran,IRN,2009,95.86354156
Iraq,IRQ,2009,88.84504649
Ireland,IRL,2009,96.82224001
Israel,ISR,2009,99.99999673
Italy,ITA,2009,99.78847174
Jamaica,JAM,2009,92.43233426
Japan,JPN,2009,98.6942334
Jordan,JOR,2009,98.77960457
Kazakhstan,KAZ,2009,93.35188712
Kenya,KEN,2009,53.10072554
Kiribati,KIR,2009,66.14692514
Kuwait,KWT,2009,100
Kyrgyzstan,KGZ,2009,85.89779154
Laos,LAO,2009,66.49957506
Latvia,LVA,2009,98.23568504
Lebanon,LBN,2009,88.43970738
Lesotho,LSO,2009,69.4944225
Liberia,LBR,2009,68.43245499
Libya,LBY,2009,93.07924868
Liechtenstein,LIE,2009,100
Lithuania,LTU,2009,93.81938811
Luxembourg,LUX,2009,100
Madagascar,MDG,2009,43.37005361
Malawi,MWI,2009,61.2695218
Malaysia,MYS,2009,96.98153166
Maldives,MDV,2009,96.89249312
Mali,MLI,2009,64.08942951
Malta,MLT,2009,100
Marshall Islands,MHL,2009,88.2877562
Mauritania,MRT,2009,54.52367259
Mauritius,MUS,2009,99.56695987
Mexico,MEX,2009,95.58504992
Micronesia,FSM,2009,90.71764037
Moldova,MDA,2009,86.35385104
Monaco,MCO,2009,100
Mongolia,MNG,2009,74.23369673
Montenegro,MNE,2009,96.02578844
Morocco,MAR,2009,74.27852198
Mozambique,MOZ,2009,37.07133169
Myanmar,MMR,2009,62.27614758
Namibia,NAM,2009,80.38343469
Nauru,NRU,2009,98.28034128
Nepal,NPL,2009,85.15872987
Netherlands,NLD,2009,99.99999795
New Zealand,NZL,2009,99.99999754
Nicaragua,NIC,2009,
Niger,NER,2009,43.19663217
Nigeria,NGA,2009,58.43066518
North Korea,PRK,2009,97.38017639
North Macedonia,MKD,2009,97.18129732
Norway,NOR,2009,99.99999844
Oman,OMN,2009,87.49162154
Pakistan,PAK,2009,88.64923431
Palau,PLW,2009,99.42342836
Palestine,PSE,2009,96.75165754
Panama,PAN,2009,91.81648689
